MIN(LAT_DD),MIN(LONG_DD),NRM_REGION,SHELF,CATCHMENT,FULLREEF_ID,REEF_ID,REEF_NAME,MMP_SITE_NAME,AIMS_REEF_NAME,REEF_ZONE
-16.39021667,145.57095,Wet Tropics,I,Daintree,16028S,16028,LOW ISLANDS REEF,Low Isles,Low Isles,
-16.21091667,145.9062,,O,,16025S2,16025,OPAL (2),Opal 2,Opal Reef,
-16.07655,145.84515,,O,,16019S,16019,ST CRISPIN REEF,St Crispin,St. Crispin Reef,
-16.04756667,145.8687667,,O,,15099C,15099,AGINCOURT REEFS (NO 1),Agincourt 1,Agincourt Reef No.1,
-16.0474,145.6499667,,M,,16015S,16015,MACKAY REEF,Mackay,Mackay Reef,
-14.79255,145.3514,,I,,14126S,14126,LINNET REEF,Linnet,Linnet Reef,
-14.76455,145.3722333,,I,,14123S,14123,MARTIN REEF(14123),Martin,Martin Reef,
-14.74983333,145.5149833,,M,,14143S,14143,NORTH DIRECTION REEF,North Direction,North Direction Island,
-14.6977,145.4629667,,M,,14116S,14116,LIZARD ISLAND,Lizard,Lizard Isles,
-14.653,145.491,,M,,14114S,14114,MACGILLIVRAY REEF,Macgillivray,Macgillivray Reef,
-14.63156667,145.6453333,,O,,14139S,14139,NO NAME REEF,No Name,No Name Reef,
-14.57891667,145.6182667,,O,,14138S,14138,YONGE REEF,Yonge,Yonge Reef,
-14.52913333,145.5819833,,O,,14137S,14137,CARTER REEF,Carter,Carter Reef,
-14.19171667,144.8913667,,O,,14045S,14045,SAND BANK NO 1 REEF,SAND BANK NO 1 REEF,Sand bank No.1,
-13.96913333,144.45645,,O,,13130S,13130,DAVIE REEF,DAVIE REEF,Davie Reef,
-13.91168333,144.2364167,,M,,14016S,14016,CORBETT REEF,CORBETT REEF,Corbett Reef,
-13.87223333,144.0920833,,M,,13124S,13124,13124S,13124S,Reef 13-124,
-12.39828333,143.7435333,,O,,12061S,12061,LAGOON REEF,LAGOON REEF,Lagoon Reef,
-12.33801667,143.8537667,,O,,12056S,12056,MANTIS REEF,MANTIS REEF,Mantis Reef,
-11.60075,143.2939667,,M,,11162S,11162,11162S,11162S,Reef 11-162,
-11.35715,143.33275,,M,,11049S,11049,11049S,11049S,Reef 11-049,
-11.12926667,143.2614833,,M,,11029S,11029,MONSOON REEF,MONSOON REEF,Monsoon Reef,
-11.0264,143.25005,,M,,11016S,11016,MCSWEENEY REEF,MCSWEENEY REEF,McSweeney Reef,
